Minutes5UTC,Minutes5DK,PriceArea,ProductionLt100MW,ProductionGe100MW,OffshoreWindPower,OnshoreWindPower,SolarPower,ExchangeGreatBelt,ExchangeGermany,ExchangeNetherlands,ExchangeNorway,ExchangeSweden,BornholmSE4
2023-06-09T04:45:00,2023-06-09T06:45:00,DK2,102.379997,240.820007,484.630005,71.07,101.809998,-168.089996,-205.419998,,,621.960022,-2.99
2023-06-09T04:40:00,2023-06-09T06:40:00,DK1,237.570007,203.729996,294.26001,117.050003,145.309998,168.089996,-1078.869995,699.869995,802.330017,714.0,
2023-06-09T04:40:00,2023-06-09T06:40:00,DK2,104.480003,240.740005,482.880005,70.860001,90.089996,-168.089996,-206.440002,,,613.369995,-2.21
2023-06-09T04:35:00,2023-06-09T06:35:00,DK1,238.059998,202.119995,297.119995,114.959999,136.350006,168.089996,-1097.599976,699.869995,802.23999,714.0,
2023-06-09T04:35:00,2023-06-09T06:35:00,DK2,106.5,238.669998,465.070007,63.700001,85.330002,-168.089996,-213.860001,,,621.419983,-1.69
2023-06-09T04:30:00,2023-06-09T06:30:00,DK1,235.300003,197.240005,288.070007,108.360001,127.610001,168.089996,-1092.280029,699.869995,802.150024,714.0,
2023-06-09T04:30:00,2023-06-09T06:30:00,DK2,107.459999,236.520004,444.839996,68.260002,81.599998,-168.089996,-210.919998,,,657.590027,-1.69
2023-06-09T04:25:00,2023-06-09T06:25:00,DK1,235.330002,197.050003,294.73999,106.059998,120.559998,168.089996,-1106.02002,699.869995,801.539978,714.0,
2023-06-09T04:25:00,2023-06-09T06:25:00,DK2,105.910004,236.520004,419.140015,62.959999,73.739998,-168.089996,-209.710007,,,660.820007,-2.34
2023-06-09T04:20:00,2023-06-09T06:20:00,DK1,236.5,198.270004,289.869995,100.790001,110.040001,168.089996,-1121.300049,699.869995,801.5,714.0,
2023-06-09T04:20:00,2023-06-09T06:20:00,DK2,105.230003,236.520004,384.899994,61.880001,70.410004,-168.089996,-211.190002,,,688.570007,-3.68
2023-06-09T04:15:00,2023-06-09T06:15:00,DK1,235.360001,197.520004,283.190002,93.75,99.940002,168.089996,-1104.5,699.869995,802.27002,714.0,
2023-06-09T04:15:00,2023-06-09T06:15:00,DK2,102.860001,236.520004,344.309998,61.919998,65.5,-168.089996,-215.559998,,,716.780029,-3.33
2023-06-09T04:10:00,2023-06-09T06:10:00,DK1,234.490005,194.410004,270.570007,85.089996,92.5,165.220001,-1110.290039,699.869995,802.51001,715.0,
2023-06-09T04:10:00,2023-06-09T06:10:00,DK2,104.029999,238.339996,313.619995,63.889999,59.290001,-165.220001,-215.119995,,,755.200012,-3.98
2023-06-09T04:05:00,2023-06-09T06:05:00,DK1,237.25,189.0,260.829987,80.660004,84.150002,162.869995,-1106.319946,697.640015,802.159973,715.0,
2023-06-09T04:05:00,2023-06-09T06:05:00,DK2,103.449997,238.339996,254.119995,62.220001,54.240002,-162.869995,-213.449997,,,761.359985,-2.72
2023-06-09T04:00:00,2023-06-09T06:00:00,DK1,236.130005,186.130005,252.429993,74.809998,78.610001,159.509995,-1097.359985,672.26001,802.419983,715.0,
2023-06-09T04:00:00,2023-06-09T06:00:00,DK2,103.059998,243.729996,234.350006,62.25,49.5,-159.509995,-252.789993,,,813.280029,-3.23
2023-06-09T03:55:00,2023-06-09T05:55:00,DK1,231.910004,184.179993,249.940002,70.25,67.809998,154.839996,-1068.930054,648.869995,802.390015,715.0,
2023-06-09T03:55:00,2023-06-09T05:55:00,DK2,105.019997,241.929993,209.679993,64.07,43.540001,-154.839996,-275.829987,,,842.159973,-3.1
2023-06-09T03:50:00,2023-06-09T05:50:00,DK1,234.839996,176.460007,248.839996,62.389999,58.740002,154.839996,-1076.150024,648.869995,802.22998,715.0,
2023-06-09T03:50:00,2023-06-09T05:50:00,DK2,104.519997,240.100006,176.309998,62.91,41.959999,-154.839996,-279.109985,,,868.690002,-3.1
2023-06-09T03:45:00,2023-06-09T05:45:00,DK1,235.089996,166.720001,255.320007,66.540001,52.919998,151.630005,-1073.329956,648.869995,802.26001,715.0,
2023-06-09T03:45:00,2023-06-09T05:45:00,DK2,102.190002,242.470001,149.410004,61.580002,36.669998,-151.630005,-279.149994,,,891.429993,-3.71
2023-06-09T03:40:00,2023-06-09T05:40:00,DK1,234.449997,146.649994,258.019989,66.970001,45.889999,151.630005,-1052.939941,648.869995,802.47998,715.0,
2023-06-09T03:40:00,2023-06-09T05:40:00,DK2,102.309998,242.470001,136.539993,60.759998,32.529999,-151.630005,-280.5,,,897.27002,-4.53
2023-06-09T03:35:00,2023-06-09T05:35:00,DK1,234.690002,148.449997,258.73999,63.41,41.110001,151.630005,-1052.859985,648.869995,802.150024,715.0,
2023-06-09T03:35:00,2023-06-09T05:35:00,DK2,102.809998,242.470001,139.070007,63.0,30.57,-151.630005,-281.040009,,,887.840027,-4.43
2023-06-09T03:30:00,2023-06-09T05:30:00,DK1,233.520004,140.669998,258.709991,58.5,35.68,151.630005,-1062.650024,648.869995,802.119995,715.0,
2023-06-09T03:30:00,2023-06-09T05:30:00,DK2,103.379997,242.429993,132.919998,64.68,27.15,-151.630005,-279.899994,,,889.090027,-3.78
2023-06-09T03:25:00,2023-06-09T05:25:00,DK1,233.800003,132.429993,246.0,55.599998,29.65,152.649994,-1043.98999,648.869995,802.320007,715.0,
2023-06-09T03:25:00,2023-06-09T05:25:00,DK2,103.199997,242.429993,116.860001,68.290001,23.639999,-152.649994,-279.709991,,,900.47998,-4.87
2023-06-09T03:20:00,2023-06-09T05:20:00,DK1,232.990005,137.029999,235.399994,58.34,23.450001,202.169998,-1079.98999,648.869995,802.349976,715.0,
2023-06-09T03:20:00,2023-06-09T05:20:00,DK2,103.0,240.490005,113.540001,67.660004,20.219999,-202.169998,-279.559998,,,966.460022,-4.39
2023-06-09T03:15:00,2023-06-09T05:15:00,DK1,231.130005,127.25,209.679993,52.509998,17.700001,202.169998,-1036.369995,648.869995,802.419983,715.0,
2023-06-09T03:15:00,2023-06-09T05:15:00,DK2,102.129997,238.589996,112.150002,69.809998,16.18,-202.169998,-280.200012,,,950.919983,-4.91
2023-06-09T03:10:00,2023-06-09T05:10:00,DK1,231.889999,136.440002,190.770004,48.459999,13.62,230.710007,-1041.310059,649.780029,802.320007,714.0,
